,Flow,max_interpacket_interval,min_interpacket_interval,avg_interpacket_interval,sum_interpacket_interval,max_packet_length,min_packet_length,avg_packet_length,sum_packet_length,mode_packet_length,label
0,97.68.56.122:57851<-->89.22.59.116:443,0.028120994567871,0.0,0.0036804676055908,0.0552070140838623,1292,64,345.8125,5533,73,normal
1,57.181.239.188:49345<-->247.209.38.226:443,7.384421825408935,0.0,0.2739282432867556,13.422483921051024,283,63,92.72,4636,74,normal
2,123.47.11.54:53083<-->112.93.224.70:443,14.99833607673645,0.0,0.5351382486281856,165.89285707473755,1287,66,201.34405144694531,62618,75,normal
3,201.76.252.193:138<-->200.7.7.115:138,1487.1197259426117,0.0002210140228271,332.4963713845899,10307.387512922289,258,216,247.40625,7917,258,normal
4,230.168.24.60:8009<-->4.184.58.159:43606,5.012900114059448,0.0001869201660156,2.5026474765713607,4327.077486991882,274,54,110.01098265895952,190319,164,normal
5,153.7.106.136:43606<-->142.203.190.144:8009,5.518094062805176,0.0,4.688053076858768,4327.072989940643,248,54,158.49134199134198,146446,164,normal
6,173.137.27.135:51168<-->105.136.33.108:443,0.0105288028717041,0.0,0.0019898017247517,0.0119388103485107,93,54,63.0,441,54,normal
7,48.182.183.183:51169<-->70.1.231.254:443,1.0948750972747805,0.0,0.3651783466339111,1.0955350399017334,78,54,60.0,240,54,normal
8,151.133.195.84:51458<-->204.86.250.95:443,67.97904992103577,0.0,3.9256344491785216,86.36395788192749,1292,54,346.6521739130435,7973,54,normal
9,40.105.62.0:8009<-->90.40.7.92:50517,5.006708860397339,7.081031799316406e-05,2.529759416385004,4325.888602018356,215,54,109.16949152542372,186789,164,normal
10,181.171.81.110:8009<-->31.8.87.12:50754,4.975122928619385,0.0002119541168212,2.5446401246856243,4325.888211965561,164,54,108.93709582598473,185302,164,normal
11,108.106.147.211:50517<-->251.241.59.126:8009,6.860964059829712,0.0,5.006748211880525,4325.830455064774,248,54,162.8578034682081,140872,164,normal
12,196.169.60.65:51303<-->98.230.112.180:443,4.321635961532593,0.0,0.8451038809383616,14.366765975952148,571,54,84.05555555555556,1513,54,normal
13,70.58.87.69:51304<-->15.186.252.200:443,4.186101913452148,0.0,0.8375640616697424,14.23858904838562,571,54,84.05555555555556,1513,54,normal
14,139.230.242.53:443<-->142.24.170.175:45031,45.00803899765015,0.0,10.24027614934104,143.36386609077454,100,54,62.6,939,54,normal
15,23.143.87.161:51178<-->251.59.132.238:443,0.3145439624786377,8.106231689453125e-05,0.0553763310114542,0.3322579860687256,78,54,57.42857142857143,402,54,normal
16,54.104.32.208:46251<-->160.45.205.65:443,44.96331596374512,0.0,7.113418054580689,142.26836109161377,93,54,67.0,1407,54,normal
17,180.253.179.37:45159<-->79.87.143.26:443,44.96619915962219,0.0,6.775926294780913,142.29445219039917,93,54,67.5,1485,54,normal
18,194.203.84.238:51313<-->237.138.219.44:443,44.95774412155152,0.0,2.730103828690269,60.06228423118591,1514,54,252.34782608695653,5804,54,normal
19,139.87.114.67:44346<-->195.244.1.102:443,45.01391911506653,0.0,2.05656648330948,302.3152730464936,1514,54,162.94594594594594,24116,54,normal
20,231.124.149.234:8009<-->59.235.65.117:43604,5.0148890018463135,0.0001189708709716,2.497880967072432,4323.83195400238,164,54,110.25981524249424,190970,164,normal
21,73.111.35.51:43604<-->203.129.234.169:8009,5.388777017593384,0.0,4.537067862397601,4323.825672864914,168,54,156.61844863731656,149414,164,normal
22,81.216.2.143:44842<-->132.13.12.7:443,45.01145815849304,0.0002989768981933,14.775888428092005,236.41421484947205,84,54,60.35294117647059,1026,55,normal
23,47.133.98.50:51150<-->198.14.42.87:443,45.01383686065674,0.0007858276367187,13.6350652738051,149.98571801185608,66,54,58.333333333333336,700,55,normal
24,65.164.219.194:44302<-->126.107.81.232:5228,45.01590299606323,0.0,21.387794272734386,4320.334443092346,80,54,60.66009852216749,12314,55,normal
25,102.40.137.97:51187<-->84.199.120.89:443,0.0069108009338378,0.0,0.0021379590034484,0.0085518360137939,78,54,58.8,294,54,normal
26,52.128.87.185:44304<-->132.225.173.82:443,45.014286041259766,0.0,1.1520573351563526,137.09482288360596,1464,54,293.325,35199,54,normal
27,190.142.5.46:51322<-->173.156.112.211:443,44.99752402305603,0.0,2.7287698117169468,60.03293585777283,1274,54,287.2608695652174,6607,54,normal
